Sub	Trial	Color	Period	Session	Path
52	3	w	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\52_3.bdf
52	1	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\52_1.bdf
52	2	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\52_2.bdf
52	3	w	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\52_3.bdf
52	1	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\52_1.bdf
52	2	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\52_2.bdf
52	3	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\52_3.bdf
53	1	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\53_1.bdf
53	2	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\53_2.bdf
53	3	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL1_7AM\53_3.bdf
53	1	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\53_1.bdf
53	2	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\53_2.bdf
53	3	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL2_11AM\53_3.bdf
53	1	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\53_1.bdf
53	2	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\53_2.bdf
53	3	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\MONDAY_06_04_12\TRIAL3_3PM\53_3.bdf
53	1	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\53_1.bdf
53	2	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\53_2.bdf
53	3	r	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL1_7AM\53_3.bdf
53	1	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\53_1.bdf
53	2	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\53_2.bdf
53	3	r	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL2_11AM\53_3.bdf
53	1	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL3_3PM\53_1.bdf
53	2	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL3_3PM\53_2.bdf
53	3	r	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\MONDAY_6_18_12\TRIAL3_3PM\53_3.bdf
53	1	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\53_1.bdf
53	2	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\53_2.bdf
53	3	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL1_7AM\53_3.bdf
53	1	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\53_1.bdf
53	2	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\53_2.bdf
53	3	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL2_11AM\53_3.bdf
53	1	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\53_1.bdf
53	2	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\53_2.bdf
53	3	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\MONDAY_6_11_12\TRIAL3_3PM\53_3.bdf
54	1	d	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\54_1.bdf
54	2	d	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\54_2.bdf
54	3	d	1	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL1_7AM\54_3.bdf
54	1	d	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\54_1.bdf
54	2	d	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\54_2.bdf
54	3	d	2	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL2_11AM\54_3.bdf
54	1	d	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\54_1.bdf
54	2	d	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\54_2.bdf
54	3	d	3	3	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_3\TUESDAY_6_19_12\TRIAL3_3PM\54_3.bdf
54	1	r	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\54_1.bdf
54	2	r	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\54_2.bdf
54	3	r	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\54_3.bdf
54	1	r	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\54_1.bdf
54	2	r	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\54_2.bdf
54	3	r	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\54_3.bdf
54	1	r	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\54_1.bdf
54	2	r	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\54_2.bdf
54	3	r	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\54_3.bdf
54	1	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\54_1.bdf
